ne;tipo;Observação;A pagar; Cancelado; Inscritos; Pago
070023000012020NE000253;SERVICO DE SELECAO E TREINAMENTO;2020NECT - CONTRATACAO DA CAPACITACAO "GERENCIAMENTODE SI E DA EQUIPE" A      SER REALIZADO NAS DEPENDENCIAS DESTE TRIBUNAL NO PERIODO DE MARCO A           MAIO/2020.;NA;NA;NA;NA
070023000012020NE000174;RESSARCIMENTO DE MENSALIDADES;2019NECT - CONCESSAO DE AUXILIO BOLSA DE ESTUDOS PARA SERVIDORES DO TRE/GO,   NAS MODALIDADES DE GRADUACAO E POS-GRADUACAO.;NA;NA;NA;NA
070023000012020NE000174;RESSARCIMENTO DE MENSALIDADES;2019NECT - CONCESSAO DE AUXILIO BOLSA DE ESTUDOS PARA SERVIDORES DO TRE/GO,   NAS MODALIDADES DE GRADUACAO E POS-GRADUACAO.;NA;NA;NA;NA
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;NAO SE APLICA;16200;NA;16200;NA
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;APROPRIACAO DA NF.91 REF. PAD 108952019.;0;NA;NA;NA
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;NAO SE APLICA;0;NA;0;NA
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;PAGAMENTO DA NF.91, REFERENTE A AQUISICAO DE ABRACADEIRAS EM VELCRO. VALOR BRUTO DA NF: R$ 16.200,00. PAD 108952019.;-15252,3;NA;NA;15252,3
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB, REFERENTES A NF 91, EMITIDA EM 09/01/2020. VALOR DA NF: R$ 16.200,00. AL. 5,85 PP. PAD 10895/2019.;-947,7;NA;NA;947,7
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;APROPRIACAO DA NF.91 REF. PAD 108952019.;0;NA;NA;NA
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;NAO SE APLICA;0;NA;0;NA
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;PAGAMENTO DA NF.91, REFERENTE A AQUISICAO DE ABRACADEIRAS EM VELCRO. VALOR BRUTO DA NF: R$ 16.200,00. PAD 108952019.;0;NA;NA;0
070023000012019NE000897;MATERIAL DE TIC - MATERIAL DE CONSUMO;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB, REFERENTES A NF 91, EMITIDA EM 09/01/2020. VALOR DA NF: R$ 16.200,00. AL. 5,85 PP. PAD 10895/2019.;0;NA;NA;0
070023000012019NE000643;SERVICOS TECNICOS PROFISSIONAIS DE TIC;NAO SE APLICA;49222,16;NA;49222,16;NA
070023000012019NE000643;SERVICOS TECNICOS PROFISSIONAIS DE TIC;NAO SE APLICA;0;NA;0;NA
070023000012019NE000643;SERVICOS TECNICOS PROFISSIONAIS DE TIC;NAO SE APLICA;0;NA;0;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;NAO SE APLICA;11490,14;NA;11490,14;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A AQUISICAO DE SERVICOS DE TIC E DA LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO. CONTRATO TRE-GO 34/2019. PAD 726/2020.;0;NA;NA;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;0;NA;NA;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;CANCELAMENTO PARA RETIFICACAO DE DADOS.;321,54;NA;NA;-321,54
070023000012019NE000645;LOCACAO DE SOFTWARES;NAO SE APLICA;0;NA;0;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;PAGAMENTO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;-2594,56;NA;NA;2594,56
070023000012019NE000645;LOCACAO DE SOFTWARES;PARA RETIFICACAO DE DADOS.;285,86;NA;NA;-285,86
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 5,85PP. BASE DE CALCULO: R$ 3,025,00. NFE 92964.;-176,96;NA;NA;176,96
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45 PP. BASE DE CALCULO: R$ 3,025,00. NFE. 92961.;-285,86;NA;NA;285,86
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45PP. BASE DE CALCULO: R$ 1.530,00. NFE 92961.;-285,86;NA;NA;285,86
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45PP. BASE DE CALCULO: R$ 1.530,00. NFE 92962.;-144,58;NA;NA;144,58
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45PP. BASE DE CALCULO: R$ 1.530,00. NFE. 92961.;-144,58;NA;NA;144,58
070023000012019NE000645;LOCACAO DE SOFTWARES;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A AQUISICAO DE SERVICOS DE TIC E DA LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO. CONTRATO TRE-GO 34/2019. PAD 726/2020.;0;NA;NA;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;0;NA;NA;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;CANCELAMENTO PARA RETIFICACAO DE DADOS.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;NAO SE APLICA;0;NA;0;NA
070023000012019NE000645;LOCACAO DE SOFTWARES;PAGAMENTO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;PARA RETIFICACAO DE DADOS.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 5,85PP. BASE DE CALCULO: R$ 3,025,00. NFE 92964.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45 PP. BASE DE CALCULO: R$ 3,025,00. NFE. 92961.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45PP. BASE DE CALCULO: R$ 1.530,00. NFE 92961.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45PP. BASE DE CALCULO: R$ 1.530,00. NFE 92962.;0;NA;NA;0
070023000012019NE000645;LOCACAO DE SOFTWARES;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. ALIQUOTA DE 9,45PP. BASE DE CALCULO: R$ 1.530,00. NFE. 92961.;0;NA;NA;0
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;NAO SE APLICA;3366,75;NA;3366,75;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A AQUISICAO DE SERVICOS DE TIC E DA LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO. CONTRATO TRE-GO 34/2019. PAD 726/2020.;0;NA;NA;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;0;NA;NA;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;NAO SE APLICA;0;NA;0;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;PAGAMENTO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;-1530;NA;NA;1530
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A AQUISICAO DE SERVICOS DE TIC E DA LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO. CONTRATO TRE-GO 34/2019. PAD 726/2020.;0;NA;NA;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;APROPRIACAO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;0;NA;NA;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;NAO SE APLICA;0;NA;0;NA
070023000012019NE000644;HOSPEDAGENS DE SISTEMAS;PAGAMENTO DAS NFS 92961 E 92962, EMITIDAS EM 22.01.2020, REFERENTES A LICENCA DE USO MENSAL SIMULTANEA E HOSTING DEDICADO E A AQUISICAO DE SERVICOS DE TIC. CONTRATO TRE-GO 34/2019.PAD 726/2020.;0;NA;NA;0
070023000012019NE000217;EMISSAO DE CERTIFICADOS DIGITAIS;NAO SE APLICA;1499,4;NA;1499,4;NA
070023000012019NE000217;EMISSAO DE CERTIFICADOS DIGITAIS;NAO SE APLICA;0;NA;0;NA
070023000012019NE000217;EMISSAO DE CERTIFICADOS DIGITAIS;NAO SE APLICA;0;NA;0;NA
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;8555;NA;8555;NA
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;2396;NA;2396;NA
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;10833,39;NA;10833,39;NA
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;2750,16;NA;2750,16;NA
070023000012019NE000116;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;12295,8;NA;12295,8;NA
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DAS FATURAS 0982852241-0 E 0982847987-0. PERIODO: 27/11/2019 A 26/12/2019. CONTRATO TRE-GO N� 56/2017. PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, ATRAVES DE LINKS DE ACESSO A INTERNET. PAD 201/2020.;-7746,56;NA;NA;7746,56
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;RECOLHIMENTO CONFORME IN 1234/2012, DA SRF. ALIQUOTA 9,45 PP. FATURAS N. 0982852241-0 E 0982847987-0. PERIODO: 27/11/2019 A 26/12/2019. PAD 2012020..;-808,44;NA;NA;808,44
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DA FATURA 0266367321, REFERENTE AO PERIODO DE 02/12/19 A 01/01/2020. FORNECIMENTO DE MODEMS COM TECNOLOGIA 3G/4G. CONTRATO TRE/GO N. 46/2015. PAD 1992020.;-1084,79;NA;NA;1084,79
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. VALOR DA FATURA: R$ 1.198,00. AL. 9,45 PP. PAD 199/2020.;-113,21;NA;NA;113,21
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DA FATURA 200200001522. REAJUSTE DO CONTRATO 59/17, A PARTIR DE 26/07/2019, REFERENTE A PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, PARA PROVER A COMUNICACAO ENTRE O TRE-GO, AS ZONAS ELEITORAIS E OS POSTOS DE ATENDIMENTO AO ELEITOR, ATRAVES DE LINKS DE ACESSO A INTERNET -  CONTRATO TRE/GO 59/17. VALOR DA FATURA: R$ 9.742,99. PAD 13717/2019.;-8822,28;NA;NA;8822,28
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. VALOR DA FATURA: R$ 9.742,99. AL. 9,45. PAD 11.586/2019.;-920,71;NA;NA;920,71
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;APROPRIACAO DOS SERVICOS REFERENTES A FATURA N. 200100001464. PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, ATRAVES DE LINKS DE ACESSO A INTERNET. CORRESPONDENTE A DIFERENCA ENTRE O VALOR JA PAGO E O MONTANTE APURADO EM DECORRENCIA DO REAJUSTE DO CONTRATO TRE-GO N� 22/2017, CONFORME 2 TERMO ADITIVO. PAD 10149/2019.;-2490,27;NA;NA;2490,27
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. AL. 9,45 PP.;-259,89;NA;NA;259,89
070023000012019NE000116;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DAS FATURAS 0982852241-0 E 0982847987-0. PERIODO: 27/11/2019 A 26/12/2019. CONTRATO TRE-GO N� 56/2017. PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, ATRAVES DE LINKS DE ACESSO A INTERNET. PAD 201/2020.;0;NA;NA;0
070023000012019NE000026;COMUNICACAO DE DADOS E REDES EM GERAL;RECOLHIMENTO CONFORME IN 1234/2012, DA SRF. ALIQUOTA 9,45 PP. FATURAS N. 0982852241-0 E 0982847987-0. PERIODO: 27/11/2019 A 26/12/2019. PAD 2012020..;0;NA;NA;0
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DA FATURA 0266367321, REFERENTE AO PERIODO DE 02/12/19 A 01/01/2020. FORNECIMENTO DE MODEMS COM TECNOLOGIA 3G/4G. CONTRATO TRE/GO N. 46/2015. PAD 1992020.;0;NA;NA;0
070023000012019NE000110;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. VALOR DA FATURA: R$ 1.198,00. AL. 9,45 PP. PAD 199/2020.;0;NA;NA;0
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DA FATURA 200200001522. REAJUSTE DO CONTRATO 59/17, A PARTIR DE 26/07/2019, REFERENTE A PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, PARA PROVER A COMUNICACAO ENTRE O TRE-GO, AS ZONAS ELEITORAIS E OS POSTOS DE ATENDIMENTO AO ELEITOR, ATRAVES DE LINKS DE ACESSO A INTERNET -  CONTRATO TRE/GO 59/17. VALOR DA FATURA: R$ 9.742,99. PAD 13717/2019.;0;NA;NA;0
070023000012019NE000111;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. VALOR DA FATURA: R$ 9.742,99. AL. 9,45. PAD 11.586/2019.;0;NA;NA;0
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;APROPRIACAO DOS SERVICOS REFERENTES A FATURA N. 200100001464. PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, ATRAVES DE LINKS DE ACESSO A INTERNET. CORRESPONDENTE A DIFERENCA ENTRE O VALOR JA PAGO E O MONTANTE APURADO EM DECORRENCIA DO REAJUSTE DO CONTRATO TRE-GO N� 22/2017, CONFORME 2 TERMO ADITIVO. PAD 10149/2019.;0;NA;NA;0
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000115;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. AL. 9,45 PP.;0;NA;NA;0
070023000012019NE000116;COMUNICACAO DE DADOS E REDES EM GERAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000615;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;NAO SE APLICA;2076,38;NA;2076,38;NA
070023000012019NE000615;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;NAO SE APLICA;0;NA;0;NA
070023000012019NE000615;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;NAO SE APLICA;0;NA;0;NA
070023000012020NE000234;SUPORTE A USUARIOS DE TIC;2020NECT # 19AT0007 - SERVICOS ESPECIALIZADOS E CONTINUADOS DE   SUPORTE   AOSUSUARIOS DE SOLUCOES DE TI DO TRE-GO, CONFORME EDITAL DE PREGAO ELETRONICO  N�06/2019.;NA;NA;NA;NA
070023000012020NE000234;SUPORTE A USUARIOS DE TIC;2020NECT#19AT0007 - SERVICOS ESPECIALIZADOS E CONTINUADOS DE SUPORTE AOS AOS  USUARIOS DE SOLUCOES DE TIC DO TRE-GO, CONFORME EDITAL DE PREGAO ELETRONICO   N� 06/2019. - REFORCO AO 2020NE000234;NA;NA;NA;NA
070023000012020NE000226;INSTALACAO DE EQUIPAMENTOS DE TIC;2014NECT #19AT0042 - SERVICO DE INSTALACAO, CONFIGURACAO E PARAMETRIZACAO   DEFIREWALL/GATEWAY. PREGAO ELETRONICO N. 54/2019.;NA;NA;NA;NA
070023000012020NE000232;INSTALACAO DE EQUIPAMENTOS DE TIC;2020 NECT # 19AT0040 - AQUISICOES DE LICENCAS DE SOFTWARE PARA BACKUP, RESTOREE APPLIANCE DE ARMAZENAMENTO PARA O DATACENTER DO TRE-GO, COM GARANTIA TECNICAE SUPORTE, CONFORME EDITAL DE PREGAO ELETRONICO N 48/2019.;NA;NA;NA;NA
070023000012020NE000159;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0056 - DESPESAS COM LINK DE DADOS COM VELOCIDADE DE 100 MBPS. EXECUCAO DA ARP 55/2017 - TRE/GO.;NA;NA;NA;NA
070023000012020NE000160;COMUNICACAO DE DADOS E REDES EM GERAL;15CT0046 - SERVICO DE ACESSO MOVEL A INTERNET, UTILIZANDO TECNOLOGIAS 3G E 4GSMOVEL PESSOAL (SMP), COM FORNECIMENTO DE MODEM EM REGIME DE COMODATO.;NA;NA;NA;NA
070023000012020NE000161;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0059 - SERVICOS DE TELECOMUNICACOES PARA PROVER COMUNICACAO DE DADOS ENTREESTE TRIBUNAL, AS ZONAS ELEITORAIS DO ESTADO DE GOIAS E OS POSTOS DE ATENDIMENTO AO ELEITOR, ATRAVES DE LINKS DE ACESSO A INTERNET.;NA;NA;NA;NA
070023000012020NE000162;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0012 -AQUISICAO DE LINK DE DADOS - ARP 24/2016 - TELEVOIP;NA;NA;NA;NA
070023000012020NE000163;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0011 - BACKBONE SECUNDARIO - EXECUCAO ARP 23/2016 TRE-GO - LINKS DE DADOS.;NA;NA;NA;NA
070023000012020NE000164;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0022 - AQUISICAO DE LINKS DE DADOS. ARP 25/2016 -TRE/GO;NA;NA;NA;NA
070023000012020NE000165;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0062 - LINKS DE DADOS COM VELOCIDADE A SEREM INSTALADOS NOS MUNICIPIOS DE MORRINHOS, CIDADE OCIDENTAL, RIO VERDE, TRINDADE, LUZIANIA E VALPARAISO.;NA;NA;NA;NA
070023000012020NE000167;COMUNICACAO DE DADOS E REDES EM GERAL;18CT0021 - SERVICOS CONTINUOS DE TELECOMUNICACAO PARA PROVER A COMUNICACAO  DEDADOS ENTRE TRE-GO E AS ZONAS ELEITORAIS E OS POSTOS ATENDIMENTO AO ELEITOR - ARP NR. 13/2018.;NA;NA;NA;NA
070023000012020NE000159;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DAS FATURAS: 1000030669-0 E 1000027863-0, PERIODO:  27/12/2019 A 26/01/2020. CONTRATO TRE-GO N� 56/2017. PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, ATRAVES DE LINKS DE ACESSO A INTERNET. PAD 1627/2020.;NA;NA;NA;NA
070023000012020NE000159;COMUNICACAO DE DADOS E REDES EM GERAL;RECOLHIMENTO CONFORME IN 1234/2012, DA SRF. ALIQUOTA 9,45 PP. FATURAS N. 1000030669-0 E 1000027863-0:  27/12/2019 A 26/01/2020. PAD 1627/2020.;NA;NA;NA;NA
070023000012020NE000159;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0056 - DESPESAS COM LINK DE DADOS COM VELOCIDADE DE 100 MBPS. EXECUCAO DA ARP 55/2017 - TRE/GO.;NA;NA;NA;NA
070023000012020NE000160;COMUNICACAO DE DADOS E REDES EM GERAL;15CT0046 - SERVICO DE ACESSO MOVEL A INTERNET, UTILIZANDO TECNOLOGIAS 3G E 4GSMOVEL PESSOAL (SMP), COM FORNECIMENTO DE MODEM EM REGIME DE COMODATO.;NA;NA;NA;NA
070023000012020NE000161;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DA FATURA 200300001578,REFERENTE A PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, PARA PROVER A COMUNICACAO ENTRE O TRE-GO, AS ZONAS ELEITORAIS E OS POSTOS DE ATENDIMENTO AO ELEITOR, ATRAVES DE LINKS DE ACESSO A INTERNET -  CONTRATO TRE/GO 59/17. VALOR DA FATURA: R$ 41.385,46. PAD 1510/2020.;NA;NA;NA;NA
070023000012020NE000161;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. VALOR DA FATURA: R$ 41,382,46 ALIQUOTA 9,45, POR CENTO. PAD 1510/2020.;NA;NA;NA;NA
070023000012020NE000161;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0059 - SERVICOS DE TELECOMUNICACOES PARA PROVER COMUNICACAO DE DADOS ENTREESTE TRIBUNAL, AS ZONAS ELEITORAIS DO ESTADO DE GOIAS E OS POSTOS DE ATENDIMENTO AO ELEITOR, ATRAVES DE LINKS DE ACESSO A INTERNET.;NA;NA;NA;NA
070023000012020NE000162;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO NF 1663, EMITIDA EM 04/02/2020, CONTRATO TRE/GO N. 12/2017. SERVICO DE COMUNICACAO. EMPRESA OPTANTE DO SIMPLES NACIONAL. REFERENCIA: JANEIRO/2020 PAD. 15817/2020.;NA;NA;NA;NA
070023000012020NE000162;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE 2 PORCENTO DE ISS PARA O MUNICIPIO DE GOIANIA, NFN 1663 NO VALOR BRUTO DE R$ 5,222,40,PAD 1361/2020.;NA;NA;NA;NA
070023000012020NE000162;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0012 -AQUISICAO DE LINK DE DADOS - ARP 24/2016 - TELEVOIP;NA;NA;NA;NA
070023000012020NE000163;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DE FATURA N. 306598935, REFERENTE PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, PARA PROVER COMUNICACAO DE DADOS ENTRE O TRE-GO E, AS ZONAS ELEITORAIS DE GOIAS E OS POSTOS DE ATENDIMENTO AO ELEITOR, ATRAVES DE LINKS DE ACESSO A INTERNET. CONTRATO TRE-GO N� 11/2017. REFERENCIA: JANEIRO/2020. VENC: 20/03/2020.PAD 1752/2020.;NA;NA;NA;NA
070023000012020NE000163;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE IMPOSTOS FEDERAIS CONFORME IN RFB N. 1234/2012, ALIQUOTA 9,45, FATURA N. 306598936 VALOR BRUTO R$ 12,917,00, PAD 1752/2020.;NA;NA;NA;NA
070023000012020NE000163;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0011 - BACKBONE SECUNDARIO - EXECUCAO ARP 23/2016 TRE-GO - LINKS DE DADOS.;NA;NA;NA;NA
070023000012020NE000164;COMUNICACAO DE DADOS E REDES EM GERAL;PAGAMENTO DE SERVICOS REFERENTES A FATURA N. 200300001577. PRESTACAO DE SERVICOS CONTINUOS DE TELECOMUNICACOES, ATRAVES DE LINKS DE ACESSO A INTERNET. REFERENTE AO MES DE JANEIRO/2020, NO VALOR DE R$ 22.758,47, CONTRATO TRE-GO N� 22/2017, PAD 1506/2020.;NA;NA;NA;NA
070023000012020NE000164;COMUNICACAO DE DADOS E REDES EM GERAL;RETENCAO DE TRIBUTOS FEDERAIS CONFORME IN 1234/2012 RFB. AL. 9,45 PP.PAD 1506/2020, NF 200300001577, VALOR R$ 22.758,47;NA;NA;NA;NA
070023000012020NE000164;COMUNICACAO DE DADOS E REDES EM GERAL;17CT0022 - AQUISICAO DE LINKS DE DADOS. ARP 25/2016 -TRE/GO;NA;NA;NA;NA
